,NCT_72_33_32_smRNA_S31,NCT_72_33_53_smRNA_S44,NCT_72_38_71_smRNA_S47,NCT_72_38_73_smRNA_S48,NCT_72_43_21_smRNA_S29,NCT_72_43_22_smRNA_S30,RBC2_72_38_11_smRNA_S25,RBC2_72_38_12_smRNA_S26,RBC2_72_43_41_smRNA_S42,RBC2_72_43_42_smRNA_S43
novel:OW982298.1_24470,6.85171773583711,6.39608551148002,7.1108624658036,6.33415402158048,6.45870486886985,5.18523905352547,6.81985798512056,6.39276648365493,5.78045575906817,6.20250956728199
known:OW982298.1_23371,5.60208252717399,4.05569632055427,5.68929490066139,6.08520088933698,5.68466079119506,5.66665429356747,4.59366554673787,5.45914980851087,5.96006063938542,5.46931169139994
known:OW982298.1_24494,10.7865161612807,10.7961952548759,10.5697381114796,10.5872524893836,10.2742349143177,10.1760918280979,10.2277593078459,10.2935204133227,10.1371860888147,9.88657897608273
known:OW982298.1_23475,6.62594796659867,6.88282199272842,7.66669839081933,7.29833754367673,7.19367105106457,8.00096124813313,6.40447544305024,6.07349908005568,7.45286542092589,7.54956294497923
known:OW982298.1_23583,10.1917481324924,10.2829972035593,9.84889015772682,10.0856316918078,10.5200895423,10.3293981392981,10.1219572243498,10.2187497825753,10.2276424455832,10.271853288882
novel:OW982299.1_25711,5.90031323225541,5.65605942642612,3.65753245049179,4.39276231858477,2.92766762638965,1.98428374255877,4.81674962516167,4.77137128143436,4.690283746042,4.21938734731348
known:OW982299.1_26062,7.92937352684426,7.77741645230119,8.13521357851577,8.69052963050268,8.5841293925942,8.07992660592668,8.29856859390315,8.54796661828147,8.43648213461079,8.74624692744039
known:OW982299.1_25336,13.6906031794436,13.296655328922,13.8212250527479,13.3059597544975,14.0408796321189,14.1846390799947,13.0254497389185,13.2490742957697,13.5465979798435,13.4988288734265
novel:OW982299.1_26240,1.98428374255877,1.98428374255877,1.98428374255877,1.98428374255877,5.57840250298194,6.10458158647946,2.99898486718363,2.86649072441154,4.88073966251271,3.49726023905537
known:OW982300.1_28095,1.98428374255877,1.98428374255877,3.05099971697583,4.65929271230995,3.49325335230059,4.86681197029452,1.98428374255877,3.40995013842173,3.49103799263235,4.47868816192809
novel:OW982300.1_28100,1.98428374255877,5.06726215945046,4.41152499575613,1.98428374255877,4.88369807364321,5.18523905352547,1.98428374255877,1.98428374255877,2.92602860058817,4.69840780429967
novel:OW982300.1_27462,8.90088249552339,6.466693197629,5.91318251645796,3.64172743596065,4.69317745217149,3.88419071189312,6.33401709669676,5.92297203088466,4.21183999590118,3.90304158478243
known:OW982300.1_28198,11.8253697392013,12.0842716238172,11.7126578807066,11.1736422640406,11.2504619299932,11.4968562862734,10.9501165336511,10.880800024494,11.0178245679519,11.0624583380843
known:OW982300.1_27483,8.70271897055425,8.18593483588837,8.04345707273438,8.56625423391551,9.05938691658067,8.87267785824751,8.03545991229171,8.18424224859508,8.8996910969594,8.70879776127624
known:OW982300.1_28199,12.266928342276,12.3744322123973,12.0155026691566,12.416908977434,12.2739688089024,12.1644820222003,12.1259510429135,12.1091082185393,12.1485096799012,12.0759065206092
known:OW982300.1_28277,8.75951827638633,7.98410202439468,7.94546601711779,8.06732032276818,8.97813455221278,8.63186761894712,8.79463411923443,8.75152375486193,8.095792942349,8.16176959526147
known:OW982300.1_28279,9.01414461177599,8.6013038580847,8.71339249012856,8.53343754311791,8.83548498197175,9.02012923527816,8.79463411923443,8.71762587012562,9.03610769366083,8.5902386355754
known:OW982300.1_28718,8.1718562349517,8.79211053737695,8.45307534872804,9.39480973015021,9.62418296356936,8.93772487218165,9.12185228770961,9.16604195632998,9.30897779647308,9.40690689984324
novel:OW982301.1_28870,3.91750288252447,4.3822618834823,6.35611279071515,5.40322496965254,6.12298377464966,5.76552028343714,6.0992960399641,5.08672942575903,6.33037900199905,6.05113511059414
known:OW982301.1_29999,11.5688431321864,11.2485022795732,11.1806227830163,11.2284914585231,11.6746169102707,11.710460470351,11.3907046784116,11.4596352252847,11.5165277255208,11.6465308503467
known:OW982301.1_30000,11.3489688167147,10.9733616913612,10.7143576354063,11.0133117139291,11.3627609216587,11.3591905402749,11.1834124204913,11.2523127605443,11.2470506610713,11.3749142001298
known:OW982301.1_30001,10.5654209931114,10.6672131577814,10.81837073248,10.408772320397,10.0834627412411,10.0095876385204,10.1219572243498,10.1984118067067,10.1183937549468,10.0749701535769
novel:OW982301.1_30007,3.2530367377353,3.0322827060525,4.67878492436328,4.65929271230995,4.21452793896735,3.88419071189312,1.98428374255877,3.40995013842173,4.47080504889721,4.21938734731348
known:OW982302.1_30791,4.37070739095092,6.98257582641992,7.8938560042566,8.660449916436,8.3778546255216,7.85143192420425,8.24197021068717,8.18424224859508,8.6346433386459,8.28563846254228
novel:OW982302.1_30840,3.2530367377353,3.0322827060525,5.270762576247,4.88417709131575,5.33906520404193,5.0347930142393,4.59366554673787,4.11283159807786,6.2635321442802,5.78935715710865
known:OW982302.1_30394,7.99392075428916,8.63235191215631,7.8938560042566,8.51674495726767,9.66369628116646,9.57780948990954,8.43946567531342,8.46866751383916,9.52414704308649,9.6236326220508
known:OW982302.1_31021,8.64359148615469,9.10040037247159,8.84150939664972,8.89811471243918,8.31306420390968,8.24322332188865,7.79437078030533,7.64957346037483,7.54017655983425,7.43191576185852
novel:OW982302.1_30532,3.2530367377353,4.8729704847982,3.05099971697583,3.64172743596065,4.21452793896735,4.45759067645058,5.1802413984848,4.36721764688861,1.98428374255877,2.93063376916467
known:OW982302.1_30549,11.1223079226173,11.6351206467727,12.4578560371792,11.895699439576,12.4301061909367,12.6216168532933,10.6021771111021,10.6426600389868,11.8738708179645,11.8736128768394
novel:OW982302.1_30555,5.4261289659074,4.8729704847982,1.98428374255877,1.98428374255877,1.98428374255877,1.98428374255877,2.99898486718363,1.98428374255877,2.92602860058817,2.93063376916467
novel:OW982303.1_32127,3.2530367377353,1.98428374255877,4.08323532037193,1.98428374255877,3.49325335230059,4.45759067645058,3.58881464016824,2.86649072441154,2.92602860058817,4.47868816192809
novel:OW982303.1_32745,9.30870844581819,8.48705093958887,8.17899232430802,8.17762417166907,6.95973532326135,7.21022253749862,8.18306042870725,8.06349608454576,7.86725807505518,7.96404421073633
known:OW982303.1_32813,13.85383829064,13.7337911094594,13.5378368424496,13.4839631127688,13.5971198021283,13.656213172654,13.6668216511387,13.6840957780662,13.6942857215137,13.736416591961
known:OW982303.1_32815,4.37070739095092,5.06726215945046,5.09908698236521,4.39276231858477,5.33906520404193,5.56051141551266,4.59366554673787,5.56461091854607,5.8730513313959,6.27262939554438
